	parameters
MODEL_NAME	Unet2d_Opt-RMSprop_Lr-0.00033_Epoch-100_Filt-32
VERBOSE	1
USE_BATCH_NORMALIZATION	True
DROPOUT_P	0.05
N_FILTERS	32
PATIENCE	5
LR_GAMMA	0.01
OPTIMIZER	RMSprop
LR	0.00033
CLASSIFIER_ACTIVATION	softmax
LOSS	<keras.losses.CategoricalCrossentropy object at 0x7f70903756a0>
METRICS	[<keras.metrics.Recall object at 0x7f7078067780>, <keras.metrics.Precision object at 0x7f70e908f668>, <keras.metrics.CategoricalAccuracy object at 0x7f70e908f7f0>, <function mean_iou at 0x7f70ea16d7b8>]
NUM_CLASS	2
DATA_AUGMENTATION_ONLINE	True
IMAGE_SIZE	(256, 256)
BATCH_SIZE	20
MAX_EPOCH	100
VALIDATION_SIZE	0.25
TEST_SIZE	0.2
MODE	train
MODEL_TYPE	Unet2d
PARTITION_PATH	./dataset/subjects_partition.tsv
STORE_PATH	./models/
DATA_ROOT_PATH	/nvmescratch/jsaenz/UC09/
TEST-LOSS	0.051286499947309494
TEST-mIou	0.8592922687530518
TEST-ACC	0.9861294031143188
